xP4]utt number,xP4]subjses,utterance::time on tape,gesture description::transcript number,gesture description::utt #,gesture description::within utt sign seq,gesture description::form gloss,gesture description::utt case output,gesture description::link orig,utt proposition number
124,TDC101 S02 child,00:58:49:01,,124,1,shrug,shrug,end (•),1
125,TDC101 S02 child,00:58:50:29,,125,1,garbage pail,en1,sim (+),1
,,,,125,2,pm man,en2,end (•),
125,TDC101 S02 child,00:58:50:29,,125,1,garbage pail,en1,sim (+),2
,,,,125,2,pm man,en2,end (•),
126,TDC101 S02 child,00:58:51:24,,126,1,shrug,shrug,end (•),1
127,TDC101 S02 child,00:59:00:00,,127,1,q,en1,seq (-),1
,,,,127,2,hurdle,re2,seq (-),
,,,,127,3,GO TO,ac2,end (•),
127,TDC101 S02 child,00:59:00:00,,127,1,q,en1,seq (-),2
,,,,127,2,hurdle,re2,seq (-),
,,,,127,3,GO TO,ac2,end (•),
128,TDC101 S02 child,00:59:02:27,,128,1,GO LEFT,ac,seq (-),1
,,,,128,2,hurdle,re,seq (-),
,,,,128,3,good,good,end (•),
129,TDC101 S02 child,00:59:04:15,,129,1,GO UNDER,ac1,seq (-),1
,,,,129,2,GO UNDER,ac1,end (•),
130,TDC101 S02 child,00:59:05:10,,130,1,flip,flip,end (•),1
131,TDC101 S02 child,00:59:07:09,,131,1,bike cover,en,end (•),1
132,TDC101 S02 child,00:59:22:04,,132,1,shrug,shrug,end (•),1
133,TDC101 S02 child,00:59:29:28,,133,1,q,en,end (•),1
134,TDC101 S02 child,00:59:38:27,,134,1,ladder,po,sim (+),1
,,,,134,2,scaffolding,en,seq (-),
,,,,134,3,ladder,po,sim (+),
,,,,134,4,scaffolding,en,end (•),
135,TDC101 S02 child,01:00:18:27,,135,1,flip,flip,end (•),1
136,TDC101 S02 child,01:01:01:13,,136,1,shrug,shrug,end (•),1
137,TDC101 S02 child,01:01:29:00,,137,1,GO BACK AND FORTH,ac,end (•),1
138,TDC101 S02 child,01:01:30:00,,138,1,GIVE,ac,end (•),1
139,TDC101 S02 child,01:01:36:22,,139,1,GO BACK AND FORTH,ac,end (•),1
140,TDC101 S02 child,01:01:39:03,,140,1,pm fish,en,end (•),1
141,TDC101 S02 child,01:01:42:06,,141,1,hand,en,seq (-),1
,,,,141,2,flip,flip,end (•),
142,TDC101 S02 child,01:02:05:26,,142,1,pm man,en,seq (-),1
,,,,142,2,flip,flip,end (•),
143,TDC101 S02 child,01:02:12:04,,143,1,self,en,seq (-),1
,,,,143,2,nod,nod,end (•),
144,TDC101 S02 child,01:02:17:10,,144,1,pm man,en,sim (+),1
,,,,144,2,self,sim,seq (-),
,,,,144,3,pm man,en,sim (+),
,,,,144,4,self,sim,end (•),
145,TDC101 S02 child,01:02:21:26,,145,1,pm man,en1,seq (-),1
,,,,145,2,self,sim1,seq (-),
,,,,145,3,mother,en2,seq (-),
,,,,145,4,pm man,sim2/en3/en4,sim (+),
,,,,145,5,self,sim3,seq (-),
,,,,145,6,mother,sim4,end (•),
145,TDC101 S02 child,01:02:21:26,,145,1,pm man,en1,seq (-),2
,,,,145,2,self,sim1,seq (-),
,,,,145,3,mother,en2,seq (-),
,,,,145,4,pm man,sim2/en3/en4,sim (+),
,,,,145,5,self,sim3,seq (-),
,,,,145,6,mother,sim4,end (•),
145,TDC101 S02 child,01:02:21:26,,145,1,pm man,en1,seq (-),3
,,,,145,2,self,sim1,seq (-),
,,,,145,3,mother,en2,seq (-),
,,,,145,4,pm man,sim2/en3/en4,sim (+),
,,,,145,5,self,sim3,seq (-),
,,,,145,6,mother,sim4,end (•),
145,TDC101 S02 child,01:02:21:26,,145,1,pm man,en1,seq (-),4
,,,,145,2,self,sim1,seq (-),
,,,,145,3,mother,en2,seq (-),
,,,,145,4,pm man,sim2/en3/en4,sim (+),
,,,,145,5,self,sim3,seq (-),
,,,,145,6,mother,sim4,end (•),
146,TDC101 S02 child,01:02:24:01,,146,1,pm man 1,en1,seq (-),1
,,,,146,2,pm man 2,en2,end (•),
146,TDC101 S02 child,01:02:24:01,,146,1,pm man 1,en1,seq (-),2
,,,,146,2,pm man 2,en2,end (•),
147,TDC101 S02 child,01:02:29:29,,147,1,pm man,en1,sim (+),1
,,,,147,2,dad,sim1/en2/sim3,seq (-),
,,,,147,3,EXTENT DAD,de2,seq (-),
,,,,147,4,pm man,en3,sim (+),
,,,,147,5,dad,sim1/en2/sim3,seq (-),
,,,,147,6,dad,sim1/en2/sim3,end (•),
147,TDC101 S02 child,01:02:29:29,,147,1,pm man,en1,sim (+),2
,,,,147,2,dad,sim1/en2/sim3,seq (-),
,,,,147,3,EXTENT DAD,de2,seq (-),
,,,,147,4,pm man,en3,sim (+),
,,,,147,5,dad,sim1/en2/sim3,seq (-),
,,,,147,6,dad,sim1/en2/sim3,end (•),
147,TDC101 S02 child,01:02:29:29,,147,1,pm man,en1,sim (+),3
,,,,147,2,dad,sim1/en2/sim3,seq (-),
,,,,147,3,EXTENT DAD,de2,seq (-),
,,,,147,4,pm man,en3,sim (+),
,,,,147,5,dad,sim1/en2/sim3,seq (-),
,,,,147,6,dad,sim1/en2/sim3,end (•),
148,TDC101 S02 child,00:00:03:24,,148,1,EXIST SHAPE,de1,sim (+),1
,,,,148,2,TWIST,ac2,seq (-),
,,,,148,3,flip,flip,seq (-),
,,,,148,4,q,q,end (•),
148,TDC101 S02 child,00:00:03:24,,148,1,EXIST SHAPE,de1,sim (+),2
,,,,148,2,TWIST,ac2,seq (-),
,,,,148,3,flip,flip,seq (-),
,,,,148,4,q,q,end (•),
149,TDC101 S02 child,00:06:26:26,,149,1,pumpkin,en,end (•),1
150,TDC101 S02 child,00:06:30:04,,150,1,TRACE SMILE,de1,seq (-),1
,,,,150,2,TRACE CIRCLE,de2,end (•),
150,TDC101 S02 child,00:06:30:04,,150,1,TRACE SMILE,de1,seq (-),2
,,,,150,2,TRACE CIRCLE,de2,end (•),
151,TDC101 S02 child,00:06:31:16,,151,1,pumpkin,en,seq (-),1
,,,,151,2,good,good,end (•),
152,TDC101 S02 child,00:06:35:23,,152,1,owl,en1,seq (-),1
,,,,152,2,walrus,en2,seq (-),
,,,,152,3,good,good,seq (-),
,,,,152,4,walrus,en2,seq (-),
,,,,152,5,good,good,seq (-),
,,,,152,6,pumpkin,pa3/pa4,seq (-),
,,,,152,7,MOVE BACK AND FORTH,ac3,sim (+),
,,,,152,8,BITE,ac4,seq (-),
,,,,152,9,flip,flip,end (•),
152,TDC101 S02 child,00:06:35:23,,152,1,owl,en1,seq (-),2
,,,,152,2,walrus,en2,seq (-),
,,,,152,3,good,good,seq (-),
,,,,152,4,walrus,en2,seq (-),
,,,,152,5,good,good,seq (-),
,,,,152,6,pumpkin,pa3/pa4,seq (-),
,,,,152,7,MOVE BACK AND FORTH,ac3,sim (+),
,,,,152,8,BITE,ac4,seq (-),
,,,,152,9,flip,flip,end (•),
152,TDC101 S02 child,00:06:35:23,,152,1,owl,en1,seq (-),3
,,,,152,2,walrus,en2,seq (-),
,,,,152,3,good,good,seq (-),
,,,,152,4,walrus,en2,seq (-),
,,,,152,5,good,good,seq (-),
,,,,152,6,pumpkin,pa3/pa4,seq (-),
,,,,152,7,MOVE BACK AND FORTH,ac3,sim (+),
,,,,152,8,BITE,ac4,seq (-),
,,,,152,9,flip,flip,end (•),
152,TDC101 S02 child,00:06:35:23,,152,1,owl,en1,seq (-),4
,,,,152,2,walrus,en2,seq (-),
,,,,152,3,good,good,seq (-),
,,,,152,4,walrus,en2,seq (-),
,,,,152,5,good,good,seq (-),
,,,,152,6,pumpkin,pa3/pa4,seq (-),
,,,,152,7,MOVE BACK AND FORTH,ac3,sim (+),
,,,,152,8,BITE,ac4,seq (-),
,,,,152,9,flip,flip,end (•),
153,TDC101 S02 child,00:06:40:15,,153,1,good,good,seq (-),1
,,,,153,2,umbrella,en1,seq (-),
,,,,153,3,good,good,seq (-),
,,,,153,4,owl,en2,seq (-),
,,,,153,5,good,good,end (•),
153,TDC101 S02 child,00:06:40:15,,153,1,good,good,seq (-),2
,,,,153,2,umbrella,en1,seq (-),
,,,,153,3,good,good,seq (-),
,,,,153,4,owl,en2,seq (-),
,,,,153,5,good,good,end (•),
154,TDC101 S02 child,00:06:46:27,,154,1,owl,en1,seq (-),1
,,,,154,2,good,good,seq (-),
,,,,154,3,owl,en1,seq (-),
,,,,154,4,good,good,seq (-),
,,,,154,5,present,en2,seq (-),
,,,,154,6,good,good,seq (-),
,,,,154,7,queen,en3,seq (-),
,,,,154,8,good,good,seq (-),
,,,,154,9,turtle,en4,seq (-),
,,,,154,10,good,good,end (•),
154,TDC101 S02 child,00:06:46:27,,154,1,owl,en1,seq (-),2
,,,,154,2,good,good,seq (-),
,,,,154,3,owl,en1,seq (-),
,,,,154,4,good,good,seq (-),
,,,,154,5,present,en2,seq (-),
,,,,154,6,good,good,seq (-),
,,,,154,7,queen,en3,seq (-),
,,,,154,8,good,good,seq (-),
,,,,154,9,turtle,en4,seq (-),
,,,,154,10,good,good,end (•),
154,TDC101 S02 child,00:06:46:27,,154,1,owl,en1,seq (-),3
,,,,154,2,good,good,seq (-),
,,,,154,3,owl,en1,seq (-),
,,,,154,4,good,good,seq (-),
,,,,154,5,present,en2,seq (-),
,,,,154,6,good,good,seq (-),
,,,,154,7,queen,en3,seq (-),
,,,,154,8,good,good,seq (-),
,,,,154,9,turtle,en4,seq (-),
,,,,154,10,good,good,end (•),
154,TDC101 S02 child,00:06:46:27,,154,1,owl,en1,seq (-),4
,,,,154,2,good,good,seq (-),
,,,,154,3,owl,en1,seq (-),
,,,,154,4,good,good,seq (-),
,,,,154,5,present,en2,seq (-),
,,,,154,6,good,good,seq (-),
,,,,154,7,queen,en3,seq (-),
,,,,154,8,good,good,seq (-),
,,,,154,9,turtle,en4,seq (-),
,,,,154,10,good,good,end (•),
155,TDC101 S02 child,00:06:49:18,,155,1,TRACE SHELL,de,end (•),1
156,TDC101 S02 child,00:07:00:27,,156,1,spider,en1,seq (-),1
,,,,156,2,good,good,seq (-),
,,,,156,3,spider,en1,seq (-),
,,,,156,4,good,good,seq (-),
,,,,156,5,turtle,en2,seq (-),
,,,,156,6,good,good,seq (-),
,,,,156,7,zipper,pa4/pa5,seq (-),
,,,,156,8,good,good,seq (-),
,,,,156,9,yarn,en3,seq (-),
,,,,156,10,good,good,seq (-),
,,,,156,11,zipper,pa4/pa5,seq (-),
,,,,156,12,PRESS,ac4,sim (+),
,,,,156,13,MOVE UP,ac5,sim (+),
,,,,156,14,yarn ,en3,seq (-),
,,,,156,15,good,good,seq (-),
,,,,156,16,xylophone,en6,seq (-),
,,,,156,17,good,good,end (•),
156,TDC101 S02 child,00:07:00:27,,156,1,spider,en1,seq (-),2
,,,,156,2,good,good,seq (-),
,,,,156,3,spider,en1,seq (-),
,,,,156,4,good,good,seq (-),
,,,,156,5,turtle,en2,seq (-),
,,,,156,6,good,good,seq (-),
,,,,156,7,zipper,pa4/pa5,seq (-),
,,,,156,8,good,good,seq (-),
,,,,156,9,yarn,en3,seq (-),
,,,,156,10,good,good,seq (-),
,,,,156,11,zipper,pa4/pa5,seq (-),
,,,,156,12,PRESS,ac4,sim (+),
,,,,156,13,MOVE UP,ac5,sim (+),
,,,,156,14,yarn ,en3,seq (-),
,,,,156,15,good,good,seq (-),
,,,,156,16,xylophone,en6,seq (-),
,,,,156,17,good,good,end (•),
156,TDC101 S02 child,00:07:00:27,,156,1,spider,en1,seq (-),3
,,,,156,2,good,good,seq (-),
,,,,156,3,spider,en1,seq (-),
,,,,156,4,good,good,seq (-),
,,,,156,5,turtle,en2,seq (-),
,,,,156,6,good,good,seq (-),
,,,,156,7,zipper,pa4/pa5,seq (-),
,,,,156,8,good,good,seq (-),
,,,,156,9,yarn,en3,seq (-),
,,,,156,10,good,good,seq (-),
,,,,156,11,zipper,pa4/pa5,seq (-),
,,,,156,12,PRESS,ac4,sim (+),
,,,,156,13,MOVE UP,ac5,sim (+),
,,,,156,14,yarn ,en3,seq (-),
,,,,156,15,good,good,seq (-),
,,,,156,16,xylophone,en6,seq (-),
,,,,156,17,good,good,end (•),
156,TDC101 S02 child,00:07:00:27,,156,1,spider,en1,seq (-),4
,,,,156,2,good,good,seq (-),
,,,,156,3,spider,en1,seq (-),
,,,,156,4,good,good,seq (-),
,,,,156,5,turtle,en2,seq (-),
,,,,156,6,good,good,seq (-),
,,,,156,7,zipper,pa4/pa5,seq (-),
,,,,156,8,good,good,seq (-),
,,,,156,9,yarn,en3,seq (-),
,,,,156,10,good,good,seq (-),
,,,,156,11,zipper,pa4/pa5,seq (-),
,,,,156,12,PRESS,ac4,sim (+),
,,,,156,13,MOVE UP,ac5,sim (+),
,,,,156,14,yarn ,en3,seq (-),
,,,,156,15,good,good,seq (-),
,,,,156,16,xylophone,en6,seq (-),
,,,,156,17,good,good,end (•),
156,TDC101 S02 child,00:07:00:27,,156,1,spider,en1,seq (-),5
,,,,156,2,good,good,seq (-),
,,,,156,3,spider,en1,seq (-),
,,,,156,4,good,good,seq (-),
,,,,156,5,turtle,en2,seq (-),
,,,,156,6,good,good,seq (-),
,,,,156,7,zipper,pa4/pa5,seq (-),
,,,,156,8,good,good,seq (-),
,,,,156,9,yarn,en3,seq (-),
,,,,156,10,good,good,seq (-),
,,,,156,11,zipper,pa4/pa5,seq (-),
,,,,156,12,PRESS,ac4,sim (+),
,,,,156,13,MOVE UP,ac5,sim (+),
,,,,156,14,yarn ,en3,seq (-),
,,,,156,15,good,good,seq (-),
,,,,156,16,xylophone,en6,seq (-),
,,,,156,17,good,good,end (•),
156,TDC101 S02 child,00:07:00:27,,156,1,spider,en1,seq (-),6
,,,,156,2,good,good,seq (-),
,,,,156,3,spider,en1,seq (-),
,,,,156,4,good,good,seq (-),
,,,,156,5,turtle,en2,seq (-),
,,,,156,6,good,good,seq (-),
,,,,156,7,zipper,pa4/pa5,seq (-),
,,,,156,8,good,good,seq (-),
,,,,156,9,yarn,en3,seq (-),
,,,,156,10,good,good,seq (-),
,,,,156,11,zipper,pa4/pa5,seq (-),
,,,,156,12,PRESS,ac4,sim (+),
,,,,156,13,MOVE UP,ac5,sim (+),
,,,,156,14,yarn ,en3,seq (-),
,,,,156,15,good,good,seq (-),
,,,,156,16,xylophone,en6,seq (-),
,,,,156,17,good,good,end (•),
157,TDC101 S02 child,00:07:05:18,,157,1,xiphias,po1/ar2/pa3/pa4,seq (-),1
,,,,157,2,good,good,seq (-),
,,,,157,3,fin,en1,seq (-),
,,,,157,4,GO BACK AND FORTH,ac2,seq (-),
,,,,157,5,PICK UP,ac3,seq (-),
,,,,157,6,MOVE UP,ac4,sim (+),
,,,,157,7,CHEW,ac5,end (•),
157,TDC101 S02 child,00:07:05:18,,157,1,xiphias,po1/ar2/pa3/pa4,seq (-),2
,,,,157,2,good,good,seq (-),
,,,,157,3,fin,en1,seq (-),
,,,,157,4,GO BACK AND FORTH,ac2,seq (-),
,,,,157,5,PICK UP,ac3,seq (-),
,,,,157,6,MOVE UP,ac4,sim (+),
,,,,157,7,CHEW,ac5,end (•),
157,TDC101 S02 child,00:07:05:18,,157,1,xiphias,po1/ar2/pa3/pa4,seq (-),3
,,,,157,2,good,good,seq (-),
,,,,157,3,fin,en1,seq (-),
,,,,157,4,GO BACK AND FORTH,ac2,seq (-),
,,,,157,5,PICK UP,ac3,seq (-),
,,,,157,6,MOVE UP,ac4,sim (+),
,,,,157,7,CHEW,ac5,end (•),
157,TDC101 S02 child,00:07:05:18,,157,1,xiphias,po1/ar2/pa3/pa4,seq (-),4
,,,,157,2,good,good,seq (-),
,,,,157,3,fin,en1,seq (-),
,,,,157,4,GO BACK AND FORTH,ac2,seq (-),
,,,,157,5,PICK UP,ac3,seq (-),
,,,,157,6,MOVE UP,ac4,sim (+),
,,,,157,7,CHEW,ac5,end (•),
157,TDC101 S02 child,00:07:05:18,,157,1,xiphias,po1/ar2/pa3/pa4,seq (-),5
,,,,157,2,good,good,seq (-),
,,,,157,3,fin,en1,seq (-),
,,,,157,4,GO BACK AND FORTH,ac2,seq (-),
,,,,157,5,PICK UP,ac3,seq (-),
,,,,157,6,MOVE UP,ac4,sim (+),
,,,,157,7,CHEW,ac5,end (•),
158,TDC101 S02 child,00:07:08:01,,158,1,walrus,po,seq (-),1
,,,,158,2,good,good,seq (-),
,,,,158,3,tooth,en,seq (-),
,,,,158,4,tooth,en,end (•),
159,TDC101 S02 child,00:07:10:00,,159,1,q,q,seq (-),1
,,,,159,2,EXIST CYLINDER,de,end (•),
160,TDC101 S02 child,00:07:15:11,,160,1,TRACE MOOSE,de,seq (-),1
,,,,160,2,good,good,end (•),
161,TDC101 S02 child,00:07:19:13,,161,1,TRACE MOTH,de,seq (-),1
,,,,161,2,good,good,end (•),
162,TDC101 S02 child,00:07:23:21,,162,1,kenny bear ,en,seq (-),1
,,,,162,2,POSE KENNY BEAR,de,end (•),
163,TDC101 S02 child,00:07:30:15,,163,1,kenny bear 1,en1/ar4,seq (-),1
,,,,163,2,good,good,seq (-),
,,,,163,3,kenny bear 2,en2,seq (-),
,,,,163,4,good,good,seq (-),
,,,,163,5,sink,en3,seq (-),
,,,,163,6,good,good,seq (-),
,,,,163,7,kenny bear 1,en1/ar4,seq (-),
,,,,163,8,MOVE AROUND,ac4,end (•),
163,TDC101 S02 child,00:07:30:15,,163,1,kenny bear 1,en1/ar4,seq (-),2
,,,,163,2,good,good,seq (-),
,,,,163,3,kenny bear 2,en2,seq (-),
,,,,163,4,good,good,seq (-),
,,,,163,5,sink,en3,seq (-),
,,,,163,6,good,good,seq (-),
,,,,163,7,kenny bear 1,en1/ar4,seq (-),
,,,,163,8,MOVE AROUND,ac4,end (•),
163,TDC101 S02 child,00:07:30:15,,163,1,kenny bear 1,en1/ar4,seq (-),3
,,,,163,2,good,good,seq (-),
,,,,163,3,kenny bear 2,en2,seq (-),
,,,,163,4,good,good,seq (-),
,,,,163,5,sink,en3,seq (-),
,,,,163,6,good,good,seq (-),
,,,,163,7,kenny bear 1,en1/ar4,seq (-),
,,,,163,8,MOVE AROUND,ac4,end (•),
163,TDC101 S02 child,00:07:30:15,,163,1,kenny bear 1,en1/ar4,seq (-),4
,,,,163,2,good,good,seq (-),
,,,,163,3,kenny bear 2,en2,seq (-),
,,,,163,4,good,good,seq (-),
,,,,163,5,sink,en3,seq (-),
,,,,163,6,good,good,seq (-),
,,,,163,7,kenny bear 1,en1/ar4,seq (-),
,,,,163,8,MOVE AROUND,ac4,end (•),
164,TDC101 S02 child,00:07:44:02,,164,1,towel,en1,seq (-),1
,,,,164,2,good,good,seq (-),
,,,,164,3,kenny bear 1,en2,seq (-),
,,,,164,4,good,good,seq (-),
,,,,164,5,kenny bear 2,ar3,seq (-),
,,,,164,6,good,good,seq (-),
,,,,164,7,kenny bear 2,ar3,seq (-),
,,,,164,8,COMB,ac3,seq (-),
,,,,164,9,COMB,ac3,seq (-),
,,,,164,10,COMB,q,,
,,,,164,11,kenny bear 2,ar3,seq (-),
,,,,164,12,good,good,seq (-),
,,,,164,13,kenny bear 1,en2,seq (-),
,,,,164,14,good,good,seq (-),
,,,,164,15,kenny bear 2,ar3,seq (-),
,,,,164,16,good,good,seq (-),
,,,,164,17,kenny bear 3,en4,seq (-),
,,,,164,18,good,good,seq (-),
,,,,164,19,table,en5,seq (-),
,,,,164,20,good,good,seq (-),
,,,,164,21,maple syrup,en6,seq (-),
,,,,164,22,table,en5,seq (-),
,,,,164,23,MOVE UP,ac7,sim (+),
,,,,164,24,MOVE UP,ac7,sim (+),
,,,,164,25,MOVE UP,ac7,sim (+),
,,,,164,26,BITE,ac9,end (•),
164,TDC101 S02 child,00:07:44:02,,164,1,towel,en1,seq (-),2
,,,,164,2,good,good,seq (-),
,,,,164,3,kenny bear 1,en2,seq (-),
,,,,164,4,good,good,seq (-),
,,,,164,5,kenny bear 2,ar3,seq (-),
,,,,164,6,good,good,seq (-),
,,,,164,7,kenny bear 2,ar3,seq (-),
,,,,164,8,COMB,ac3,seq (-),
,,,,164,9,COMB,ac3,seq (-),
,,,,164,10,COMB,q,,
,,,,164,11,kenny bear 2,ar3,seq (-),
,,,,164,12,good,good,seq (-),
,,,,164,13,kenny bear 1,en2,seq (-),
,,,,164,14,good,good,seq (-),
,,,,164,15,kenny bear 2,ar3,seq (-),
,,,,164,16,good,good,seq (-),
,,,,164,17,kenny bear 3,en4,seq (-),
,,,,164,18,good,good,seq (-),
,,,,164,19,table,en5,seq (-),
,,,,164,20,good,good,seq (-),
,,,,164,21,maple syrup,en6,seq (-),
,,,,164,22,table,en5,seq (-),
,,,,164,23,MOVE UP,ac7,sim (+),
,,,,164,24,MOVE UP,ac7,sim (+),
,,,,164,25,MOVE UP,ac7,sim (+),
,,,,164,26,BITE,ac9,end (•),
164,TDC101 S02 child,00:07:44:02,,164,1,towel,en1,seq (-),3
,,,,164,2,good,good,seq (-),
,,,,164,3,kenny bear 1,en2,seq (-),
,,,,164,4,good,good,seq (-),
,,,,164,5,kenny bear 2,ar3,seq (-),
,,,,164,6,good,good,seq (-),
,,,,164,7,kenny bear 2,ar3,seq (-),
,,,,164,8,COMB,ac3,seq (-),
,,,,164,9,COMB,ac3,seq (-),
,,,,164,10,COMB,q,,
,,,,164,11,kenny bear 2,ar3,seq (-),
,,,,164,12,good,good,seq (-),
,,,,164,13,kenny bear 1,en2,seq (-),
,,,,164,14,good,good,seq (-),
,,,,164,15,kenny bear 2,ar3,seq (-),
,,,,164,16,good,good,seq (-),
,,,,164,17,kenny bear 3,en4,seq (-),
,,,,164,18,good,good,seq (-),
,,,,164,19,table,en5,seq (-),
,,,,164,20,good,good,seq (-),
,,,,164,21,maple syrup,en6,seq (-),
,,,,164,22,table,en5,seq (-),
,,,,164,23,MOVE UP,ac7,sim (+),
,,,,164,24,MOVE UP,ac7,sim (+),
,,,,164,25,MOVE UP,ac7,sim (+),
,,,,164,26,BITE,ac9,end (•),
164,TDC101 S02 child,00:07:44:02,,164,1,towel,en1,seq (-),4
,,,,164,2,good,good,seq (-),
,,,,164,3,kenny bear 1,en2,seq (-),
,,,,164,4,good,good,seq (-),
,,,,164,5,kenny bear 2,ar3,seq (-),
,,,,164,6,good,good,seq (-),
,,,,164,7,kenny bear 2,ar3,seq (-),
,,,,164,8,COMB,ac3,seq (-),
,,,,164,9,COMB,ac3,seq (-),
,,,,164,10,COMB,q,,
,,,,164,11,kenny bear 2,ar3,seq (-),
,,,,164,12,good,good,seq (-),
,,,,164,13,kenny bear 1,en2,seq (-),
,,,,164,14,good,good,seq (-),
,,,,164,15,kenny bear 2,ar3,seq (-),
,,,,164,16,good,good,seq (-),
,,,,164,17,kenny bear 3,en4,seq (-),
,,,,164,18,good,good,seq (-),
,,,,164,19,table,en5,seq (-),
,,,,164,20,good,good,seq (-),
,,,,164,21,maple syrup,en6,seq (-),
,,,,164,22,table,en5,seq (-),
,,,,164,23,MOVE UP,ac7,sim (+),
,,,,164,24,MOVE UP,ac7,sim (+),
,,,,164,25,MOVE UP,ac7,sim (+),
,,,,164,26,BITE,ac9,end (•),
164,TDC101 S02 child,00:07:44:02,,164,1,towel,en1,seq (-),5
,,,,164,2,good,good,seq (-),
,,,,164,3,kenny bear 1,en2,seq (-),
,,,,164,4,good,good,seq (-),
,,,,164,5,kenny bear 2,ar3,seq (-),
,,,,164,6,good,good,seq (-),
,,,,164,7,kenny bear 2,ar3,seq (-),
,,,,164,8,COMB,ac3,seq (-),
,,,,164,9,COMB,ac3,seq (-),
,,,,164,10,COMB,q,,
,,,,164,11,kenny bear 2,ar3,seq (-),
,,,,164,12,good,good,seq (-),
,,,,164,13,kenny bear 1,en2,seq (-),
,,,,164,14,good,good,seq (-),
,,,,164,15,kenny bear 2,ar3,seq (-),
,,,,164,16,good,good,seq (-),
,,,,164,17,kenny bear 3,en4,seq (-),
,,,,164,18,good,good,seq (-),
,,,,164,19,table,en5,seq (-),
,,,,164,20,good,good,seq (-),
,,,,164,21,maple syrup,en6,seq (-),
,,,,164,22,table,en5,seq (-),
,,,,164,23,MOVE UP,ac7,sim (+),
,,,,164,24,MOVE UP,ac7,sim (+),
,,,,164,25,MOVE UP,ac7,sim (+),
,,,,164,26,BITE,ac9,end (•),
164,TDC101 S02 child,00:07:44:02,,164,1,towel,en1,seq (-),6
,,,,164,2,good,good,seq (-),
,,,,164,3,kenny bear 1,en2,seq (-),
,,,,164,4,good,good,seq (-),
,,,,164,5,kenny bear 2,ar3,seq (-),
,,,,164,6,good,good,seq (-),
,,,,164,7,kenny bear 2,ar3,seq (-),
,,,,164,8,COMB,ac3,seq (-),
,,,,164,9,COMB,ac3,seq (-),
,,,,164,10,COMB,q,,
,,,,164,11,kenny bear 2,ar3,seq (-),
,,,,164,12,good,good,seq (-),
