xP4]utt number,xP4]subjses,utterance::time on tape,gesture description::transcript number,gesture description::utt #,gesture description::within utt sign seq,gesture description::form gloss,gesture description::utt case output,gesture description::link orig,utt proposition number
,,,,164,13,kenny bear 1,en2,seq (-),
,,,,164,14,good,good,seq (-),
,,,,164,15,kenny bear 2,ar3,seq (-),
,,,,164,16,good,good,seq (-),
,,,,164,17,kenny bear 3,en4,seq (-),
,,,,164,18,good,good,seq (-),
,,,,164,19,table,en5,seq (-),
,,,,164,20,good,good,seq (-),
,,,,164,21,maple syrup,en6,seq (-),
,,,,164,22,table,en5,seq (-),
,,,,164,23,MOVE UP,ac7,sim (+),
,,,,164,24,MOVE UP,ac7,sim (+),
,,,,164,25,MOVE UP,ac7,sim (+),
,,,,164,26,BITE,ac9,end (•),
164,TDC101 S02 child,00:07:44:02,,164,1,towel,en1,seq (-),7
,,,,164,2,good,good,seq (-),
,,,,164,3,kenny bear 1,en2,seq (-),
,,,,164,4,good,good,seq (-),
,,,,164,5,kenny bear 2,ar3,seq (-),
,,,,164,6,good,good,seq (-),
,,,,164,7,kenny bear 2,ar3,seq (-),
,,,,164,8,COMB,ac3,seq (-),
,,,,164,9,COMB,ac3,seq (-),
,,,,164,10,COMB,q,,
,,,,164,11,kenny bear 2,ar3,seq (-),
,,,,164,12,good,good,seq (-),
,,,,164,13,kenny bear 1,en2,seq (-),
,,,,164,14,good,good,seq (-),
,,,,164,15,kenny bear 2,ar3,seq (-),
,,,,164,16,good,good,seq (-),
,,,,164,17,kenny bear 3,en4,seq (-),
,,,,164,18,good,good,seq (-),
,,,,164,19,table,en5,seq (-),
,,,,164,20,good,good,seq (-),
,,,,164,21,maple syrup,en6,seq (-),
,,,,164,22,table,en5,seq (-),
,,,,164,23,MOVE UP,ac7,sim (+),
,,,,164,24,MOVE UP,ac7,sim (+),
,,,,164,25,MOVE UP,ac7,sim (+),
,,,,164,26,BITE,ac9,end (•),
164,TDC101 S02 child,00:07:44:02,,164,1,towel,en1,seq (-),8
,,,,164,2,good,good,seq (-),
,,,,164,3,kenny bear 1,en2,seq (-),
,,,,164,4,good,good,seq (-),
,,,,164,5,kenny bear 2,ar3,seq (-),
,,,,164,6,good,good,seq (-),
,,,,164,7,kenny bear 2,ar3,seq (-),
,,,,164,8,COMB,ac3,seq (-),
,,,,164,9,COMB,ac3,seq (-),
,,,,164,10,COMB,q,,
,,,,164,11,kenny bear 2,ar3,seq (-),
,,,,164,12,good,good,seq (-),
,,,,164,13,kenny bear 1,en2,seq (-),
,,,,164,14,good,good,seq (-),
,,,,164,15,kenny bear 2,ar3,seq (-),
,,,,164,16,good,good,seq (-),
,,,,164,17,kenny bear 3,en4,seq (-),
,,,,164,18,good,good,seq (-),
,,,,164,19,table,en5,seq (-),
,,,,164,20,good,good,seq (-),
,,,,164,21,maple syrup,en6,seq (-),
,,,,164,22,table,en5,seq (-),
,,,,164,23,MOVE UP,ac7,sim (+),
,,,,164,24,MOVE UP,ac7,sim (+),
,,,,164,25,MOVE UP,ac7,sim (+),
,,,,164,26,BITE,ac9,end (•),
164.5,TDC101 S02 child,00:07:50:27,,164.5,1,TEETHBRUSH,ac,end (•),1
164.7,TDC101 S02 child,00:07:57:02,,164.7,1,PULL DOWN,ac1,sim (+),1
,,,,164.7,2,GO UP,ac2,seq (-),
,,,,164.7,3,good,good,end (•),
164.7,TDC101 S02 child,00:07:57:02,,164.7,1,PULL DOWN,ac1,sim (+),2
,,,,164.7,2,GO UP,ac2,seq (-),
,,,,164.7,3,good,good,end (•),
165,TDC101 S02 child,00:08:07:11,,165,1,carrots,pa1/pa3,seq (-),1
,,,,165,2,HOLD ROUND SHAPE,ac1,sim (+),
,,,,165,3,CHEW,ac3,seq (-),
,,,,165,4,MOVE BACK AND FORTH,ac2,sim (+),
,,,,165,5,CHEW,ac3,seq (-),
,,,,165,6,MOVE BACK AND FORTH ,ac2,end (•),
165,TDC101 S02 child,00:08:07:11,,165,1,carrots,pa1/pa3,seq (-),2
,,,,165,2,HOLD ROUND SHAPE,ac1,sim (+),
,,,,165,3,CHEW,ac3,seq (-),
,,,,165,4,MOVE BACK AND FORTH,ac2,sim (+),
,,,,165,5,CHEW,ac3,seq (-),
,,,,165,6,MOVE BACK AND FORTH ,ac2,end (•),
165,TDC101 S02 child,00:08:07:11,,165,1,carrots,pa1/pa3,seq (-),3
,,,,165,2,HOLD ROUND SHAPE,ac1,sim (+),
,,,,165,3,CHEW,ac3,seq (-),
,,,,165,4,MOVE BACK AND FORTH,ac2,sim (+),
,,,,165,5,CHEW,ac3,seq (-),
,,,,165,6,MOVE BACK AND FORTH ,ac2,end (•),
166,TDC101 S02 child,00:08:08:05,,166,1,self,en,end (•),1
167,TDC101 S02 child,00:08:14:28,,167,1,molly,ar1,seq (-),1
,,,,167,2,TICKLE,ac1,seq (-),
,,,,167,3,foot,sim2,end (•),
167,TDC101 S02 child,00:08:14:28,,167,1,molly,ar1,seq (-),2
,,,,167,2,TICKLE,ac1,seq (-),
,,,,167,3,foot,sim2,end (•),
168,TDC101 S02 child,00:08:17:27,,168,1,foot,en1,seq (-),1
,,,,168,2,foot,en1,seq (-),
,,,,168,3,EXTENT FOOT,de1,seq (-),
,,,,168,4,PULL,ac2,seq (-),
,,,,168,5,MOVE AROUND,ac3,end (•),
168,TDC101 S02 child,00:08:17:27,,168,1,foot,en1,seq (-),2
,,,,168,2,foot,en1,seq (-),
,,,,168,3,EXTENT FOOT,de1,seq (-),
,,,,168,4,PULL,ac2,seq (-),
,,,,168,5,MOVE AROUND,ac3,end (•),
168,TDC101 S02 child,00:08:17:27,,168,1,foot,en1,seq (-),3
,,,,168,2,foot,en1,seq (-),
,,,,168,3,EXTENT FOOT,de1,seq (-),
,,,,168,4,PULL,ac2,seq (-),
,,,,168,5,MOVE AROUND,ac3,end (•),
169,TDC101 S02 child,00:08:28:15,,169,1,elephant trunk,en,seq (-),1
,,,,169,2,good,good,seq (-),
,,,,169,3,TRACE TRUNK,de,end (•),
170,TDC101 S02 child,00:08:29:18,,170,1,good,good,end (•),1
171,TDC101 S02 child,00:08:34:13,,171,1,blocks,en,seq (-),1
,,,,171,2,EXTENT BLOCKS,de,end (•),
172,TDC101 S02 child,00:08:37:09,,172,1,building set,en,seq (-),1
,,,,172,2,EXTENT BUILDING SET,de,end (•),
173,TDC101 S02 child,00:08:42:26,,173,1,q,en1,seq (-),1
,,,,173,2,truck,en2,seq (-),
,,,,173,3,loader,en3,seq (-),
,,,,173,4,loader,en2,end (•),
173,TDC101 S02 child,00:08:42:26,,173,1,q,en1,seq (-),2
,,,,173,2,truck,en2,seq (-),
,,,,173,3,loader,en3,seq (-),
,,,,173,4,loader,en2,end (•),
173,TDC101 S02 child,00:08:42:26,,173,1,q,en1,seq (-),3
,,,,173,2,truck,en2,seq (-),
,,,,173,3,loader,en3,seq (-),
,,,,173,4,loader,en2,end (•),
174,TDC101 S02 child,00:08:45:04,,174,1,floor,q,seq (-),1
,,,,174,2,floor,q,seq (-),
,,,,174,3,point in space,q,seq (-),
176,TDC101 S02 child,00:08:45:28,,176,1,point in space,q,seq (-),1
,,,,176,2,point in space,q,end (•),
177,TDC101 S02 child,00:08:47:13,,177,1,point in space,q,seq (-),1
,,,,177,2,point in space,q,seq (-),
,,,,177,3,point in space,q,seq (-),
,,,,177,4,point in space,q,end (•),
178,TDC101 S02 child,00:08:50:29,,178,1,flip,flip,end (•),1
179,TDC101 S02 child,00:08:51:29,,179,1,flip,flip,end (•),1
180,TDC101 S02 child,00:08:56:00,,180,1,EXTENT SEESAW,de1,seq (-),1
,,,,180,2,bear,en2/ar3,seq (-),
,,,,180,3,GO DOWN,ac3,end (•),
180,TDC101 S02 child,00:08:56:00,,180,1,EXTENT SEESAW,de1,seq (-),2
,,,,180,2,bear,en2/ar3,seq (-),
,,,,180,3,GO DOWN,ac3,end (•),
180,TDC101 S02 child,00:08:56:00,,180,1,EXTENT SEESAW,de1,seq (-),3
,,,,180,2,bear,en2/ar3,seq (-),
,,,,180,3,GO DOWN,ac3,end (•),
181,TDC101 S02 child,00:08:56:15,,181,1,GO UP AND DOWN,ac,end (•),1
182,TDC101 S02 child,00:08:57:27,,182,1,TRACE JUNGLE GYM,de,end (•),1
183,TDC101 S02 child,00:09:03:00,,183,1,GO UP AND DOWN,ac,end (•),1
184,TDC101 S02 child,00:09:06:28,,184,1,PICK UP,ac1,seq (-),1
,,,,184,2,GRASP,ac2,sim (+),
,,,,184,3,GO UP,ac3,end (•),
184,TDC101 S02 child,00:09:06:28,,184,1,PICK UP,ac1,seq (-),2
,,,,184,2,GRASP,ac2,sim (+),
,,,,184,3,GO UP,ac3,end (•),
184,TDC101 S02 child,00:09:06:28,,184,1,PICK UP,ac1,seq (-),3
,,,,184,2,GRASP,ac2,sim (+),
,,,,184,3,GO UP,ac3,end (•),
185,TDC101 S02 child,00:09:11:25,,185,1,HOLD ,ac1,seq (-),1
,,,,185,2,MOVE UP,ac2,end (•),
185,TDC101 S02 child,00:09:11:25,,185,1,HOLD ,ac1,seq (-),2
,,,,185,2,MOVE UP,ac2,end (•),
186,TDC101 S02 child,00:09:12:24,,186,1,cat,en,end (•),1
187,TDC101 S02 child,00:09:16:10,,187,1,hoop,pa1/pa2/pa3,seq (-),1
,,,,187,2,HOLD,ac1,seq (-),
,,,,187,3,HOLD,ac1,sim (+),
,,,,187,4,MOVE DOWN,ac2,seq (-),
,,,,187,5,MOVE BACK,ac3,seq (-),
,,,,187,6,MOVE BACK,ac3,end (•),
187,TDC101 S02 child,00:09:16:10,,187,1,hoop,pa1/pa2/pa3,seq (-),2
,,,,187,2,HOLD,ac1,seq (-),
,,,,187,3,HOLD,ac1,sim (+),
,,,,187,4,MOVE DOWN,ac2,seq (-),
,,,,187,5,MOVE BACK,ac3,seq (-),
,,,,187,6,MOVE BACK,ac3,end (•),
187,TDC101 S02 child,00:09:16:10,,187,1,hoop,pa1/pa2/pa3,seq (-),3
,,,,187,2,HOLD,ac1,seq (-),
,,,,187,3,HOLD,ac1,sim (+),
,,,,187,4,MOVE DOWN,ac2,seq (-),
,,,,187,5,MOVE BACK,ac3,seq (-),
,,,,187,6,MOVE BACK,ac3,end (•),
188,TDC101 S02 child,00:09:19:11,,188,1,HOLD,q,seq (-),1
,,,,188,2,PICK UP,q,seq (-),
,,,,188,3,TRACE ARC,q,seq (-),
,,,,188,4,q,q,seq (-),
,,,,188,5,GO UP,q,seq (-),
,,,,188,6,q,q,end (•),
189,TDC101 S02 child,00:09:24:25,,189,1,jungle gym,en1,seq (-),1
,,,,189,2,lisa,en2,seq (-),
,,,,189,3,jungle gym,en1,seq (-),
,,,,189,4,cat,en3,seq (-),
,,,,189,5,bear,en4,seq (-),
,,,,189,6,rabbit,en5,seq (-),
,,,,189,7,flip,flip,sim (+),
,,,,189,8,shrug,shrug,seq (-),
,,,,189,9,flip,flip,end (•),
189,TDC101 S02 child,00:09:24:25,,189,1,jungle gym,en1,seq (-),2
,,,,189,2,lisa,en2,seq (-),
,,,,189,3,jungle gym,en1,seq (-),
,,,,189,4,cat,en3,seq (-),
,,,,189,5,bear,en4,seq (-),
,,,,189,6,rabbit,en5,seq (-),
,,,,189,7,flip,flip,sim (+),
,,,,189,8,shrug,shrug,seq (-),
,,,,189,9,flip,flip,end (•),
189,TDC101 S02 child,00:09:24:25,,189,1,jungle gym,en1,seq (-),3
,,,,189,2,lisa,en2,seq (-),
,,,,189,3,jungle gym,en1,seq (-),
,,,,189,4,cat,en3,seq (-),
,,,,189,5,bear,en4,seq (-),
,,,,189,6,rabbit,en5,seq (-),
,,,,189,7,flip,flip,sim (+),
,,,,189,8,shrug,shrug,seq (-),
,,,,189,9,flip,flip,end (•),
189,TDC101 S02 child,00:09:24:25,,189,1,jungle gym,en1,seq (-),4
,,,,189,2,lisa,en2,seq (-),
,,,,189,3,jungle gym,en1,seq (-),
,,,,189,4,cat,en3,seq (-),
,,,,189,5,bear,en4,seq (-),
,,,,189,6,rabbit,en5,seq (-),
,,,,189,7,flip,flip,sim (+),
,,,,189,8,shrug,shrug,seq (-),
,,,,189,9,flip,flip,end (•),
189,TDC101 S02 child,00:09:24:25,,189,1,jungle gym,en1,seq (-),5
,,,,189,2,lisa,en2,seq (-),
,,,,189,3,jungle gym,en1,seq (-),
,,,,189,4,cat,en3,seq (-),
,,,,189,5,bear,en4,seq (-),
,,,,189,6,rabbit,en5,seq (-),
,,,,189,7,flip,flip,sim (+),
,,,,189,8,shrug,shrug,seq (-),
,,,,189,9,flip,flip,end (•),
190,TDC101 S02 child,00:09:25:18,,190,1,EXTENT SLIDE,de,end (•),1
191,TDC101 S02 child,00:09:35:13,,191,1,flip,flip,seq (-),1
,,,,191,2,cat,ar1/ar2,seq (-),
,,,,191,3,MOVE AROUND,ac1,sim (+),
,,,,191,4,GO UP AND DOWN,ac2,end (•),
191,TDC101 S02 child,00:09:35:13,,191,1,flip,flip,seq (-),2
,,,,191,2,cat,ar1/ar2,seq (-),
,,,,191,3,MOVE AROUND,ac1,sim (+),
,,,,191,4,GO UP AND DOWN,ac2,end (•),
192,TDC101 S02 child,00:09:57:23,,192,1,helicopter,ar,seq (-),1
,,,,192,2,GO LEFT,ac,seq (-),
,,,,192,3,q,q,end (•),
193,TDC101 S02 child,00:10:03:17,,193,1,light plane,ar1,seq (-),1
,,,,193,2,GO LEFT ,ac1,seq (-),
,,,,193,3,jet plane,ar2,seq (-),
,,,,193,4,GO LEFT,ac2,seq (-),
,,,,193,5,jet passenger plane,ar3,seq (-),
,,,,193,6,GO LEFT,ac3,end (•),
193,TDC101 S02 child,00:10:03:17,,193,1,light plane,ar1,seq (-),2
,,,,193,2,GO LEFT ,ac1,seq (-),
,,,,193,3,jet plane,ar2,seq (-),
,,,,193,4,GO LEFT,ac2,seq (-),
,,,,193,5,jet passenger plane,ar3,seq (-),
,,,,193,6,GO LEFT,ac3,end (•),
193,TDC101 S02 child,00:10:03:17,,193,1,light plane,ar1,seq (-),3
,,,,193,2,GO LEFT ,ac1,seq (-),
,,,,193,3,jet plane,ar2,seq (-),
,,,,193,4,GO LEFT,ac2,seq (-),
,,,,193,5,jet passenger plane,ar3,seq (-),
,,,,193,6,GO LEFT,ac3,end (•),
194,TDC101 S02 child,00:10:11:15,,194,1,blimp,ar,seq (-),1
,,,,194,2,GO LEFT,ac,end (•),
195,TDC101 S02 child,00:10:13:15,,195,1,fox,ar,seq (-),1
,,,,195,2,GO UP,ac,end (•),
196,TDC101 S02 child,00:10:18:00,,196,1,runway,en1,seq (-),1
,,,,196,2,EXIST FLAT SHAPE,de1,seq (-),
,,,,196,3,page,en2,seq (-),
,,,,196,4,Q,q,seq (-),
,,,,196,5,wave,wave,end (•),
196,TDC101 S02 child,00:10:18:00,,196,1,runway,en1,seq (-),2
,,,,196,2,EXIST FLAT SHAPE,de1,seq (-),
,,,,196,3,page,en2,seq (-),
,,,,196,4,Q,q,seq (-),
,,,,196,5,wave,wave,end (•),
196,TDC101 S02 child,00:10:18:00,,196,1,runway,en1,seq (-),3
,,,,196,2,EXIST FLAT SHAPE,de1,seq (-),
,,,,196,3,page,en2,seq (-),
,,,,196,4,Q,q,seq (-),
,,,,196,5,wave,wave,end (•),
197,TDC101 S02 child,00:10:20:05,,197,1,flip,flip,end (•),1
198,TDC101 S02 child,00:10:21:21,,198,1,book,en,seq (-),1
,,,,198,2,flip,flip,end (•),
199,TDC101 S02 child,00:10:40:09,,199,1,puzzle piece,en,seq (-),1
,,,,199,2,good,good,seq (-),
,,,,199,3,puzzle piece,en,end (•),
200,TDC101 S02 child,00:10:53:13,,200,1,flip,flip,seq (-),1
,,,,200,2,PRESS ,ac,seq (-),
,,,,200,3,shrug,shrug,seq (-),
,,,,200,4,flip,flip,end (•),
201,TDC101 S02 child,00:11:08:08,,201,1,tigger,en1,seq (-),1
,,,,201,2,rabbit,en2,end (•),
201,TDC101 S02 child,00:11:08:08,,201,1,tigger,en1,seq (-),2
,,,,201,2,rabbit,en2,end (•),
202,TDC101 S02 child,00:11:09:17,,202,1,POSE RABBIT,de,end (•),1
203,TDC101 S02 child,00:11:10:29,,203,1,tigger,en,seq (-),1
,,,,203,2,q,q,end (•),
204,TDC101 S02 child,00:11:12:10,,204,1,roo,ar1,seq (-),1
,,,,204,2,MOVE TO,ac2,end (•),
205,TDC101 S02 child,00:11:14:17,,205,1,kangaroo,ar,seq (-),1
,,,,205,2,SWEEP,ac,end (•),
206,TDC101 S02 child,00:11:16:06,,206,1,HOLD,ac,end (•),1
207,TDC101 S02 child,00:11:18:17,,207,1,wobble,wobble,end (•),1
208,TDC101 S02 child,00:11:57:07,,208,1,TRACE CORNER,de,end (•),1
209,TDC101 S02 child,00:13:45:17,,209,1,play surface,en,seq (-),1
,,,,209,2,flip,flip,seq (-),
,,,,209,3,flip,flip,end (•),
210,TDC101 S02 child,00:13:55:04,,210,1,self,en,seq (-),1
,,,,210,2,success,ma,end (•),
211,TDC101 S02 child,00:14:09:10,,211,1,puzzle piece,en1,seq (-),1
,,,,211,2,Pooh,ar2,seq (-),
,,,,211,3,PAT,ac2,seq (-),
,,,,211,4,EXIST ROUND SHAPE,de3,seq (-),
,,,,211,5,HOLD,ac4,sim (+),
,,,,211,6,PAT,ac5,seq (-),
,,,,211,7,ROTATE,ac6,sim (+),
,,,,211,8,PAT,ac5,sim (+),
,,,,211,9,HOLD,ac7,seq (-),
,,,,211,10,THROW,ac8,end (•),
211,TDC101 S02 child,00:14:09:10,,211,1,puzzle piece,en1,seq (-),2
,,,,211,2,Pooh,ar2,seq (-),
,,,,211,3,PAT,ac2,seq (-),
,,,,211,4,EXIST ROUND SHAPE,de3,seq (-),
,,,,211,5,HOLD,ac4,sim (+),
,,,,211,6,PAT,ac5,seq (-),
,,,,211,7,ROTATE,ac6,sim (+),
,,,,211,8,PAT,ac5,sim (+),
,,,,211,9,HOLD,ac7,seq (-),
,,,,211,10,THROW,ac8,end (•),
211,TDC101 S02 child,00:14:09:10,,211,1,puzzle piece,en1,seq (-),3
,,,,211,2,Pooh,ar2,seq (-),
,,,,211,3,PAT,ac2,seq (-),
,,,,211,4,EXIST ROUND SHAPE,de3,seq (-),
,,,,211,5,HOLD,ac4,sim (+),
,,,,211,6,PAT,ac5,seq (-),
,,,,211,7,ROTATE,ac6,sim (+),
,,,,211,8,PAT,ac5,sim (+),
,,,,211,9,HOLD,ac7,seq (-),
,,,,211,10,THROW,ac8,end (•),
211,TDC101 S02 child,00:14:09:10,,211,1,puzzle piece,en1,seq (-),4
,,,,211,2,Pooh,ar2,seq (-),
,,,,211,3,PAT,ac2,seq (-),
,,,,211,4,EXIST ROUND SHAPE,de3,seq (-),
,,,,211,5,HOLD,ac4,sim (+),
,,,,211,6,PAT,ac5,seq (-),
,,,,211,7,ROTATE,ac6,sim (+),
,,,,211,8,PAT,ac5,sim (+),
,,,,211,9,HOLD,ac7,seq (-),
,,,,211,10,THROW,ac8,end (•),
211,TDC101 S02 child,00:14:09:10,,211,1,puzzle piece,en1,seq (-),5
,,,,211,2,Pooh,ar2,seq (-),
,,,,211,3,PAT,ac2,seq (-),
,,,,211,4,EXIST ROUND SHAPE,de3,seq (-),
,,,,211,5,HOLD,ac4,sim (+),
,,,,211,6,PAT,ac5,seq (-),
,,,,211,7,ROTATE,ac6,sim (+),
,,,,211,8,PAT,ac5,sim (+),
,,,,211,9,HOLD,ac7,seq (-),
,,,,211,10,THROW,ac8,end (•),
211,TDC101 S02 child,00:14:09:10,,211,1,puzzle piece,en1,seq (-),6
,,,,211,2,Pooh,ar2,seq (-),
,,,,211,3,PAT,ac2,seq (-),
,,,,211,4,EXIST ROUND SHAPE,de3,seq (-),
,,,,211,5,HOLD,ac4,sim (+),
,,,,211,6,PAT,ac5,seq (-),
,,,,211,7,ROTATE,ac6,sim (+),
,,,,211,8,PAT,ac5,sim (+),
,,,,211,9,HOLD,ac7,seq (-),
,,,,211,10,THROW,ac8,end (•),
211,TDC101 S02 child,00:14:09:10,,211,1,puzzle piece,en1,seq (-),7
,,,,211,2,Pooh,ar2,seq (-),
,,,,211,3,PAT,ac2,seq (-),
,,,,211,4,EXIST ROUND SHAPE,de3,seq (-),
,,,,211,5,HOLD,ac4,sim (+),
,,,,211,6,PAT,ac5,seq (-),
,,,,211,7,ROTATE,ac6,sim (+),
,,,,211,8,PAT,ac5,sim (+),
,,,,211,9,HOLD,ac7,seq (-),
,,,,211,10,THROW,ac8,end (•),
211,TDC101 S02 child,00:14:09:10,,211,1,puzzle piece,en1,seq (-),8
,,,,211,2,Pooh,ar2,seq (-),
,,,,211,3,PAT,ac2,seq (-),
,,,,211,4,EXIST ROUND SHAPE,de3,seq (-),
,,,,211,5,HOLD,ac4,sim (+),
,,,,211,6,PAT,ac5,seq (-),
,,,,211,7,ROTATE,ac6,sim (+),
,,,,211,8,PAT,ac5,sim (+),
,,,,211,9,HOLD,ac7,seq (-),
,,,,211,10,THROW,ac8,end (•),
212,TDC101 S02 child,00:14:18:12,,212,1,EXTENT SPHERE,de1,seq (-),1
,,,,212,2,MOVE RIGHT,ac2,sim (+),
,,,,212,3,PUT DOWN,ac3,seq (-),
,,,,212,4,PICK UP,ac4,end (•),
212,TDC101 S02 child,00:14:18:12,,212,1,EXTENT SPHERE,de1,seq (-),2
,,,,212,2,MOVE RIGHT,ac2,sim (+),
,,,,212,3,PUT DOWN,ac3,seq (-),
,,,,212,4,PICK UP,ac4,end (•),
212,TDC101 S02 child,00:14:18:12,,212,1,EXTENT SPHERE,de1,seq (-),3
,,,,212,2,MOVE RIGHT,ac2,sim (+),
,,,,212,3,PUT DOWN,ac3,seq (-),
,,,,212,4,PICK UP,ac4,end (•),
212,TDC101 S02 child,00:14:18:12,,212,1,EXTENT SPHERE,de1,seq (-),4
,,,,212,2,MOVE RIGHT,ac2,sim (+),
,,,,212,3,PUT DOWN,ac3,seq (-),
,,,,212,4,PICK UP,ac4,end (•),
213,TDC101 S02 child,00:14:26:04,,213,1,HOLD,ac1,seq (-),1
,,,,213,2,MOVE TO,ac2,seq (-),
,,,,213,3,HOLD,ac1,sim (+),
,,,,213,4,tigger,ar1/ar2/ar3,seq (-),
,,,,213,5,MOVE TO,ac2,sim (+),
,,,,213,6,CHEW,ac3,end (•),
213,TDC101 S02 child,00:14:26:04,,213,1,HOLD,ac1,seq (-),2
,,,,213,2,MOVE TO,ac2,seq (-),
,,,,213,3,HOLD,ac1,sim (+),
,,,,213,4,tigger,ar1/ar2/ar3,seq (-),
,,,,213,5,MOVE TO,ac2,sim (+),
,,,,213,6,CHEW,ac3,end (•),
213,TDC101 S02 child,00:14:26:04,,213,1,HOLD,ac1,seq (-),3
,,,,213,2,MOVE TO,ac2,seq (-),
,,,,213,3,HOLD,ac1,sim (+),
,,,,213,4,tigger,ar1/ar2/ar3,seq (-),
,,,,213,5,MOVE TO,ac2,sim (+),
,,,,213,6,CHEW,ac3,end (•),
214,TDC101 S02 child,00:16:32:15,,214,1,play surface,en,seq (-),1
,,,,214,2,play surface,en,seq (-),
,,,,214,3,flip,flip,end (•),
215,TDC101 S02 child,00:16:53:25,,215,1,play surface,en,seq (-),1
,,,,215,2,flip,flip,end (•),
216,TDC101 S02 child,00:17:14:10,,216,1,owl,en1,seq (-),1
,,,,216,2,pooh,en2,seq (-),
,,,,216,3,pooh,en2,seq (-),
,,,,216,4,tigger,en3,end (•),
216,TDC101 S02 child,00:17:14:10,,216,1,owl,en1,seq (-),2
,,,,216,2,pooh,en2,seq (-),
,,,,216,3,pooh,en2,seq (-),
,,,,216,4,tigger,en3,end (•),
216,TDC101 S02 child,00:17:14:10,,216,1,owl,en1,seq (-),3
,,,,216,2,pooh,en2,seq (-),
,,,,216,3,pooh,en2,seq (-),
,,,,216,4,tigger,en3,end (•),
216.3,TDC101 S02 child,00:17:15:21,,216.3,1,rabbit,en,end (•),1
216.5,TDC101 S02 child,00:17:17:25,,216.5,1,roo,en1,seq (-),1
,,,,216.5,2,kanga,en2,seq (-),
,,,,216.5,3,piglet,en3,end (•),
216.5,TDC101 S02 child,00:17:17:25,,216.5,1,roo,en1,seq (-),2
,,,,216.5,2,kanga,en2,seq (-),
,,,,216.5,3,piglet,en3,end (•),
216.5,TDC101 S02 child,00:17:17:25,,216.5,1,roo,en1,seq (-),3
,,,,216.5,2,kanga,en2,seq (-),
,,,,216.5,3,piglet,en3,end (•),
216.7,TDC101 S02 child,00:17:19:21,,216.7,1,owl,en,seq (-),1
,,,,216.7,1,flip,flip,end (•),
217,TDC101 S02 child,00:18:06:27,,217,1,piglet,en1,seq (-),1
,,,,217,2,piglet,en1,seq (-),
,,,,217,3,piglet,en1,seq (-),
,,,,217,4,piglet,en1,seq (-),
,,,,217,5,piglet,en1,seq (-),
,,,,217,6,piglet,en1,seq (-),
,,,,217,7,owl,en2,seq (-),
,,,,217,8,flip,flip,seq (-),
,,,,217,9,owl,en2,seq (-),
,,,,217,10,owl,en2,seq (-),
,,,,217,11,owl,en2,seq (-),
,,,,217,12,owl,en2,seq (-),
,,,,217,13,owl,en2,seq (-),
,,,,217,14,flip,flip,seq (-),
,,,,217,15,owl,en2,end (•),
217,TDC101 S02 child,00:18:06:27,,217,1,piglet,en1,seq (-),2
,,,,217,2,piglet,en1,seq (-),
,,,,217,3,piglet,en1,seq (-),
,,,,217,4,piglet,en1,seq (-),
,,,,217,5,piglet,en1,seq (-),
,,,,217,6,piglet,en1,seq (-),
,,,,217,7,owl,en2,seq (-),
,,,,217,8,flip,flip,seq (-),
,,,,217,9,owl,en2,seq (-),
,,,,217,10,owl,en2,seq (-),
,,,,217,11,owl,en2,seq (-),
,,,,217,12,owl,en2,seq (-),
,,,,217,13,owl,en2,seq (-),
,,,,217,14,flip,flip,seq (-),
